TIME	H	V	T	P
0.000000e+000	-1.005946e+003	-1.250604e+003	9.288049e+001	-1.174975e-025
2.000000e+000	-1.005942e+003	-1.131687e+003	4.773701e+001	2.143608e-002
4.000000e+000	-1.005942e+003	-1.120681e+003	4.355879e+001	2.143608e-002
6.000000e+000	-1.005942e+003	-1.125081e+003	4.522925e+001	2.143608e-002
8.000000e+000	-1.005942e+003	-1.114581e+003	4.124327e+001	2.143608e-002
1.000000e+001	-1.005942e+003	-1.124687e+003	4.507948e+001	2.143608e-002
1.200000e+001	-1.005942e+003	-1.119827e+003	4.323473e+001	2.143608e-002
1.400000e+001	-1.005942e+003	-1.122998e+003	4.443864e+001	2.143608e-002
1.600000e+001	-1.005942e+003	-1.116509e+003	4.197488e+001	2.143608e-002
1.800000e+001	-1.005942e+003	-1.119951e+003	4.328182e+001	2.143608e-002
2.000000e+001	-1.005941e+003	-1.115954e+003	4.176428e+001	2.143608e-002
2.200000e+001	-1.005942e+003	-1.123822e+003	4.475109e+001	2.143608e-002
2.400000e+001	-1.005942e+003	-1.121688e+003	4.394080e+001	2.143608e-002
2.600000e+001	-1.005943e+003	-1.124916e+003	4.516609e+001	2.143608e-002
2.800000e+001	-1.005942e+003	-1.125865e+003	4.552651e+001	2.143608e-002
3.000000e+001	-1.005942e+003	-1.118583e+003	4.276228e+001	2.143608e-002
3.200000e+001	-1.005942e+003	-1.118522e+003	4.273945e+001	2.143608e-002
3.400000e+001	-1.005942e+003	-1.115059e+003	4.142465e+001	2.143608e-002
3.600000e+001	-1.005942e+003	-1.120253e+003	4.339647e+001	2.143608e-002
3.800000e+001	-1.005942e+003	-1.123498e+003	4.462832e+001	2.143608e-002
4.000000e+001	-1.005942e+003	-1.129846e+003	4.703818e+001	2.143608e-002
4.200000e+001	-1.005941e+003	-1.113618e+003	4.087768e+001	2.143608e-002
4.400000e+001	-1.005942e+003	-1.119456e+003	4.309373e+001	2.143608e-002
4.600000e+001	-1.005942e+003	-1.119302e+003	4.303534e+001	2.143608e-002
4.800000e+001	-1.005942e+003	-1.126182e+003	4.564703e+001	2.143608e-002
5.000000e+001	-1.005942e+003	-1.124166e+003	4.488207e+001	2.143608e-002
5.200000e+001	-1.005942e+003	-1.122120e+003	4.410509e+001	2.143608e-002
5.400000e+001	-1.005942e+003	-1.118498e+003	4.273013e+001	2.143608e-002
5.600000e+001	-1.005942e+003	-1.126347e+003	4.570968e+001	2.143608e-002
5.800000e+001	-1.005942e+003	-1.119964e+003	4.328656e+001	2.143608e-002
6.000000e+001	-1.005942e+003	-1.118932e+003	4.289483e+001	2.143608e-002
6.200000e+001	-1.005941e+003	-1.114351e+003	4.115598e+001	2.143608e-002
6.400000e+001	-1.005942e+003	-1.122970e+003	4.442784e+001	2.143608e-002
6.600000e+001	-1.005942e+003	-1.114493e+003	4.120978e+001	2.143608e-002
6.800000e+001	-1.005943e+003	-1.130928e+003	4.744847e+001	2.143608e-002
7.000000e+001	-1.005942e+003	-1.130755e+003	4.738294e+001	2.143608e-002
7.200000e+001	-1.005942e+003	-1.124121e+003	4.486491e+001	2.143608e-002
7.400000e+001	-1.005942e+003	-1.125533e+003	4.540062e+001	2.143608e-002
7.600000e+001	-1.005943e+003	-1.134760e+003	4.890334e+001	2.143608e-002
7.800000e+001	-1.005942e+003	-1.124553e+003	4.502889e+001	2.143608e-002
8.000000e+001	-1.005943e+003	-1.133730e+003	4.851247e+001	2.143608e-002
8.200000e+001	-1.005941e+003	-1.119677e+003	4.317820e+001	2.143608e-002
8.400000e+001	-1.005942e+003	-1.120885e+003	4.363643e+001	2.143608e-002
8.600000e+001	-1.005942e+003	-1.124102e+003	4.485736e+001	2.143608e-002
8.800000e+001	-1.005941e+003	-1.117270e+003	4.226390e+001	2.143608e-002
9.000000e+001	-1.005942e+003	-1.127499e+003	4.614719e+001	2.143608e-002
9.200000e+001	-1.005942e+003	-1.122899e+003	4.440091e+001	2.143608e-002
9.400000e+001	-1.005942e+003	-1.124723e+003	4.509294e+001	2.143608e-002
9.600000e+001	-1.005942e+003	-1.119708e+003	4.318938e+001	2.143608e-002
9.800000e+001	-1.005942e+003	-1.120414e+003	4.345751e+001	2.143608e-002
1.000000e+002	-1.005942e+003	-1.119513e+003	4.311561e+001	2.143608e-002
1.020000e+002	-1.005942e+003	-1.121052e+003	4.369964e+001	2.143608e-002
1.040000e+002	-1.005942e+003	-1.125463e+003	4.537410e+001	2.143608e-002
1.060000e+002	-1.005942e+003	-1.120918e+003	4.364866e+001	2.143608e-002
1.080000e+002	-1.005942e+003	-1.130702e+003	4.736298e+001	2.143608e-002
1.100000e+002	-1.005942e+003	-1.117639e+003	4.240420e+001	2.143608e-002
1.120000e+002	-1.005941e+003	-1.111128e+003	3.993249e+001	2.143608e-002
1.140000e+002	-1.005942e+003	-1.128413e+003	4.649376e+001	2.143608e-002
1.160000e+002	-1.005942e+003	-1.121799e+003	4.398331e+001	2.143608e-002
1.180000e+002	-1.005942e+003	-1.127839e+003	4.627600e+001	2.143608e-002
1.200000e+002	-1.005942e+003	-1.114876e+003	4.135526e+001	2.143608e-002
1.220000e+002	-1.005942e+003	-1.121256e+003	4.377737e+001	2.143608e-002
1.240000e+002	-1.005942e+003	-1.126147e+003	4.563392e+001	2.143608e-002
1.260000e+002	-1.005942e+003	-1.121451e+003	4.385089e+001	2.143608e-002
1.280000e+002	-1.005943e+003	-1.128316e+003	4.645705e+001	2.143608e-002
1.300000e+002	-1.005942e+003	-1.115974e+003	4.177194e+001	2.143608e-002
1.320000e+002	-1.005942e+003	-1.123259e+003	4.453743e+001	2.143608e-002
1.340000e+002	-1.005942e+003	-1.130066e+003	4.712156e+001	2.143608e-002
1.360000e+002	-1.005942e+003	-1.123886e+003	4.477519e+001	2.143608e-002
1.380000e+002	-1.005942e+003	-1.123404e+003	4.459264e+001	2.143608e-002
1.400000e+002	-1.005941e+003	-1.119919e+003	4.326985e+001	2.143608e-002
1.420000e+002	-1.005942e+003	-1.128073e+003	4.636506e+001	2.143608e-002
1.440000e+002	-1.005942e+003	-1.131376e+003	4.761893e+001	2.143608e-002
1.460000e+002	-1.005942e+003	-1.126544e+003	4.578444e+001	2.143608e-002
1.480000e+002	-1.005942e+003	-1.124658e+003	4.506839e+001	2.143608e-002
1.500000e+002	-1.005943e+003	-1.129839e+003	4.703521e+001	2.143608e-002
1.520000e+002	-1.005942e+003	-1.126710e+003	4.584745e+001	2.143608e-002
1.540000e+002	-1.005942e+003	-1.121515e+003	4.387525e+001	2.143608e-002
1.560000e+002	-1.005943e+003	-1.134022e+003	4.862324e+001	2.143608e-002
1.580000e+002	-1.005942e+003	-1.130114e+003	4.713996e+001	2.143608e-002
1.600000e+002	-1.005942e+003	-1.125017e+003	4.520494e+001	2.143608e-002
1.620000e+002	-1.005942e+003	-1.126527e+003	4.577805e+001	2.143608e-002
1.640000e+002	-1.005942e+003	-1.118348e+003	4.267323e+001	2.143608e-002
1.660000e+002	-1.005942e+003	-1.121712e+003	4.395033e+001	2.143608e-002
1.680000e+002	-1.005942e+003	-1.124812e+003	4.512688e+001	2.143608e-002
1.700000e+002	-1.005942e+003	-1.127560e+003	4.617045e+001	2.143608e-002
1.720000e+002	-1.005942e+003	-1.118884e+003	4.287641e+001	2.143608e-002
1.740000e+002	-1.005942e+003	-1.128493e+003	4.652470e+001	2.143608e-002
1.760000e+002	-1.005942e+003	-1.126401e+003	4.573005e+001	2.143608e-002
1.780000e+002	-1.005942e+003	-1.140538e+003	5.109703e+001	2.143608e-002
1.800000e+002	-1.005942e+003	-1.117737e+003	4.244098e+001	2.143608e-002
1.820000e+002	-1.005942e+003	-1.122771e+003	4.435226e+001	2.143608e-002
1.840000e+002	-1.005943e+003	-1.134465e+003	4.879152e+001	2.143608e-002
1.860000e+002	-1.005942e+003	-1.126157e+003	4.563752e+001	2.143608e-002
1.880000e+002	-1.005943e+003	-1.132805e+003	4.816114e+001	2.143608e-002
1.900000e+002	-1.005942e+003	-1.128118e+003	4.638192e+001	2.143608e-002
1.920000e+002	-1.005942e+003	-1.127449e+003	4.612788e+001	2.143608e-002
1.940000e+002	-1.005942e+003	-1.120887e+003	4.363700e+001	2.143608e-002
1.960000e+002	-1.005942e+003	-1.125052e+003	4.521823e+001	2.143608e-002
1.980000e+002	-1.005942e+003	-1.117547e+003	4.236884e+001	2.143608e-002
2.000000e+002	-1.005942e+003	-1.121075e+003	4.370839e+001	2.143608e-002
