TIME	H	V	T	P
0.000000e+000	-1.250660e+003	-1.250661e+003	2.555254e-004	-1.174975e-025
2.000000e+000	-1.250660e+003	-1.255856e+003	1.972618e+000	-1.174975e-025
4.000000e+000	-1.250660e+003	-1.253839e+003	1.206967e+000	5.972627e-001
6.000000e+000	-1.250660e+003	-1.255773e+003	1.940864e+000	1.830760e-002
8.000000e+000	-1.250660e+003	-1.255863e+003	1.974989e+000	1.830760e-002
1.000000e+001	-1.250660e+003	-1.254260e+003	1.366754e+000	1.830760e-002
1.200000e+001	-1.250660e+003	-1.256599e+003	2.254698e+000	1.830760e-002
1.400000e+001	-1.250660e+003	-1.255835e+003	1.964412e+000	1.830760e-002
1.600000e+001	-1.250660e+003	-1.257090e+003	2.441071e+000	1.208676e-001
1.800000e+001	-1.250660e+003	-1.257125e+003	2.454361e+000	5.369089e-003
2.000000e+001	-1.250660e+003	-1.256818e+003	2.337854e+000	5.369089e-003
2.200000e+001	-1.250660e+003	-1.257971e+003	2.775507e+000	5.369089e-003
2.400000e+001	-1.250660e+003	-1.257588e+003	2.630074e+000	5.369089e-003
2.600000e+001	-1.250660e+003	-1.258759e+003	3.074514e+000	9.612174e-005
2.800000e+001	-1.250660e+003	-1.258165e+003	2.849138e+000	9.612174e-005
3.000000e+001	-1.250660e+003	-1.258652e+003	3.033748e+000	9.612174e-005
3.200000e+001	-1.250660e+003	-1.258381e+003	2.931188e+000	9.612174e-005
3.400000e+001	-1.250660e+003	-1.258686e+003	3.046765e+000	9.612174e-005
3.600000e+001	-1.250660e+003	-1.259332e+003	3.292225e+000	9.612174e-005
3.800000e+001	-1.250660e+003	-1.258772e+003	3.079572e+000	9.612174e-005
4.000000e+001	-1.250660e+003	-1.259427e+003	3.328029e+000	9.612174e-005
4.200000e+001	-1.250660e+003	-1.259897e+003	3.506423e+000	9.612174e-005
4.400000e+001	-1.250660e+003	-1.258778e+003	3.081758e+000	9.612174e-005
4.600000e+001	-1.250660e+003	-1.259298e+003	3.279028e+000	9.612174e-005
4.800000e+001	-1.250660e+003	-1.260093e+003	3.581013e+000	9.612174e-005
5.000000e+001	-1.250660e+003	-1.259137e+003	3.217921e+000	9.612174e-005
5.200000e+001	-1.250660e+003	-1.258555e+003	2.996957e+000	9.612174e-005
5.400000e+001	-1.250660e+003	-1.259429e+003	3.328930e+000	9.612174e-005
5.600000e+001	-1.250660e+003	-1.259866e+003	3.494656e+000	9.612174e-005
5.800000e+001	-1.250660e+003	-1.259735e+003	3.444928e+000	9.612174e-005
6.000000e+001	-1.250660e+003	-1.260294e+003	3.657318e+000	9.612174e-005
6.200000e+001	-1.250660e+003	-1.259608e+003	3.396671e+000	9.612174e-005
6.400000e+001	-1.250660e+003	-1.259967e+003	3.533318e+000	9.612174e-005
6.600000e+001	-1.250660e+003	-1.260682e+003	3.804567e+000	9.612174e-005
6.800000e+001	-1.250660e+003	-1.258236e+003	2.875915e+000	9.612174e-005
7.000000e+001	-1.250660e+003	-1.260309e+003	3.662844e+000	9.612174e-005
7.200000e+001	-1.250660e+003	-1.260578e+003	3.765222e+000	9.612174e-005
7.400000e+001	-1.250660e+003	-1.260750e+003	3.830508e+000	9.612174e-005
7.600000e+001	-1.250660e+003	-1.259929e+003	3.518804e+000	9.612174e-005
7.800000e+001	-1.250660e+003	-1.260121e+003	3.591669e+000	9.612174e-005
8.000000e+001	-1.250660e+003	-1.260859e+003	3.871708e+000	9.612174e-005
8.200000e+001	-1.250660e+003	-1.259950e+003	3.526525e+000	9.612174e-005
8.400000e+001	-1.250660e+003	-1.261157e+003	3.984943e+000	9.612174e-005
8.600000e+001	-1.250660e+003	-1.260692e+003	3.808200e+000	9.612174e-005
8.800000e+001	-1.250660e+003	-1.260662e+003	3.797009e+000	9.612174e-005
9.000000e+001	-1.250660e+003	-1.260532e+003	3.747618e+000	9.612174e-005
9.200000e+001	-1.250660e+003	-1.261261e+003	4.024219e+000	9.612174e-005
9.400000e+001	-1.250660e+003	-1.260050e+003	3.564509e+000	9.612174e-005
9.600000e+001	-1.250660e+003	-1.259601e+003	3.394038e+000	9.612174e-005
9.800000e+001	-1.250660e+003	-1.259818e+003	3.476741e+000	9.612174e-005
1.000000e+002	-1.250660e+003	-1.260272e+003	3.649050e+000	9.612174e-005
1.020000e+002	-1.250660e+003	-1.259629e+003	3.404909e+000	9.612174e-005
1.040000e+002	-1.250660e+003	-1.259525e+003	3.365481e+000	9.612174e-005
1.060000e+002	-1.250660e+003	-1.259704e+003	3.433318e+000	9.612174e-005
1.080000e+002	-1.250660e+003	-1.258605e+003	3.016208e+000	9.612174e-005
1.100000e+002	-1.250660e+003	-1.259706e+003	3.434087e+000	9.612174e-005
1.120000e+002	-1.250660e+003	-1.258868e+003	3.115815e+000	9.612174e-005
1.140000e+002	-1.250660e+003	-1.259623e+003	3.402720e+000	9.612174e-005
1.160000e+002	-1.250660e+003	-1.258723e+003	3.060991e+000	9.612174e-005
1.180000e+002	-1.250660e+003	-1.258791e+003	3.086594e+000	9.612174e-005
1.200000e+002	-1.250660e+003	-1.258885e+003	3.122408e+000	9.612174e-005
1.220000e+002	-1.250660e+003	-1.258646e+003	3.031646e+000	9.612174e-005
1.240000e+002	-1.250660e+003	-1.258638e+003	3.028483e+000	9.612174e-005
1.260000e+002	-1.250660e+003	-1.258518e+003	2.983211e+000	9.612174e-005
1.280000e+002	-1.250660e+003	-1.259280e+003	3.272184e+000	9.612174e-005
1.300000e+002	-1.250660e+003	-1.259914e+003	3.512901e+000	9.612174e-005
1.320000e+002	-1.250660e+003	-1.259424e+003	3.326812e+000	9.612174e-005
1.340000e+002	-1.250660e+003	-1.259460e+003	3.340537e+000	9.612174e-005
1.360000e+002	-1.250660e+003	-1.259520e+003	3.363531e+000	9.612174e-005
1.380000e+002	-1.250660e+003	-1.258915e+003	3.133790e+000	9.612174e-005
1.400000e+002	-1.250660e+003	-1.258774e+003	3.080221e+000	9.612174e-005
1.420000e+002	-1.250660e+003	-1.259352e+003	3.299505e+000	9.612174e-005
1.440000e+002	-1.250660e+003	-1.259342e+003	3.295780e+000	9.612174e-005
1.460000e+002	-1.250660e+003	-1.258961e+003	3.151085e+000	9.612174e-005
1.480000e+002	-1.250660e+003	-1.258876e+003	3.118917e+000	9.612174e-005
1.500000e+002	-1.250660e+003	-1.258861e+003	3.113457e+000	9.612174e-005
1.520000e+002	-1.250660e+003	-1.259153e+003	3.224055e+000	9.612174e-005
1.540000e+002	-1.250660e+003	-1.258258e+003	2.884373e+000	9.612174e-005
1.560000e+002	-1.250660e+003	-1.258321e+003	2.908176e+000	9.612174e-005
1.580000e+002	-1.250660e+003	-1.257770e+003	2.699047e+000	9.612174e-005
1.600000e+002	-1.250660e+003	-1.259538e+003	3.370337e+000	9.612174e-005
1.620000e+002	-1.250660e+003	-1.257993e+003	2.783848e+000	9.612174e-005
1.640000e+002	-1.250660e+003	-1.258390e+003	2.934576e+000	9.612174e-005
1.660000e+002	-1.250660e+003	-1.258357e+003	2.921768e+000	9.612174e-005
1.680000e+002	-1.250660e+003	-1.258928e+003	3.138644e+000	9.612174e-005
